compound,result0
Co17Ce2-1090,0
Co5Ce-662,0
Co7Ce2-50,0
Fe17Ce2-233,2
Fe2Ce-235,2
Co2Dy-141,0
Co3Dy-450,0
Co5Dy-977,0
Mn23Dy6-443,0
Mn2Dy-37,0
Ni17Dy2-170,1
Ni2Dy-28,0
Ni5Dy-13,1
NiDy-64,1
Co2Er-39,0
Co3Er-401,0
Co5Er-1066,0
Co7Er-1123,0
CoEr3-7,0
Fe17Er2-299,0
Fe23Er6-498,0
Fe2Er-587,0
Ni3Er-66,0
Ni5Er-11,1
Ni7Er2-74,0
NiEr-12,0
Ni2Eu-139,1
Co17Gd2-1209,1
Co2Gd-405,0
Co3Gd-631,1
Co3Gd4-233,1
Co5Gd-1002,1
CoGd3-143,1
Fe17Gd2-479,1
Fe23Gd6-659,1
Fe2Gd-814,2
Fe3Gd-725,1
Fe5Gd-470,1
Mn23Gd6-465,1
Mn2Gd-135,1
Ni17Gd-189,1
Ni2Gd-77,1
Ni3Gd-113,1
Ni5Gd-32,1
NiGd-71,1
Co2Ho-83,0
Co5Ho-1026,0
CoHo3-10,0
Fe17Ho2-335,0
Fe23Ho6-507,0
Fe2Ho-560,0
Mn2Ho-25,0
Ni2Ho-16,0
Ni5Ho-14,1
NiHo-38,0
Co13La-1298,0
Co5La-838,0
Fe2Lu-580,2
Co2Nd-108,0
Co3Nd-381,0
Co5Nd-910,0
CoNd3-27,0
Fe17Nd2-327,2
Fe17Nd5-303,2
Fe2Nd-453,2
Mn23Nd6-438,2
Ni2Nd-9,1
Ni5Nd-7,1
Co2Pr-45,0
Co5Pr-931,0
CoPr3-14,0
Fe17Pr2-280,2
Mn23Pr6-448,2
Ni5Pr-0,1
Co17Sm2-1193,2
Co2Sm-230,2
Co5Sm-1273,2
CoSm3-78,2
Fe17Sm2-395,2
Fe2Sm-676,2
Fe3Sm-657,2
Mn23Sm6-450,2
Ni2Sm-22,2
Co2Tb-230,0
Co5Tb-979,0
CoTb3-77,0
Fe17Tb2-411,2
Fe2Tb-701,2
Fe3Tb-651,2
Mn23Tb6-454,0
Mn2Tb-48,0
Ni2Tb-40,1
Ni5Tb-23,1
Co2Tm-4,0
Co3Tm-370,0
Co7Tm2-640,0
Fe17Tm2-271,2
Fe2Tm-562,2
NiTm-7,1
Mn23Yb6-406,0
NiYb-9,1
